196	242	24.7558	881250949
186	302	25.8213	891717742
22	377	36.9163	878887116
244	51	23.0442	880606923
166	346	31.7107	886397596
298	474	23.8695	884182806
115	265	36.2125	881171488
253	465	23.4706	891628467
305	451	29.6997	886324817
6	86	23.0373	883603013
62	257	27.3391	879372434
286	1014	29.8347	879781125
200	222	38.2019	876042340
210	40	25.3051	891035994
224	29	37.8638	888104457
303	785	24.407	879485318
122	387	32.636	879270459
194	274	31.4215	879539794
291	1042	26.6432	874834944
234	1184	22.0891	892079237
119	392	30.0586	886176814
167	486	31.3479	892738452
299	144	37.0833	877881320
291	118	20.8028	874833878
308	1	22.1604	887736532
95	546	32.7879	879196566
38	95	20.2622	892430094
102	768	34.4037	883748450
63	277	22.0363	875747401
160	234	29.6589	876861185
50	246	25.0871	877052329
301	98	33.5339	882075827
225	193	37.9356	879539727
290	88	35.1979	880731963
97	194	34.4058	884238860
157	274	38.1525	886890835
181	1081	38.5722	878962623
278	603	27.5533	891295330
276	796	37.9951	874791932
7	32	35.5776	891350932
10	16	26.4851	877888877
284	304	23.8846	885329322
201	979	39.9111	884114233
276	564	23.2259	874791805
287	327	34.1607	875333916
246	201	30.0304	884921594
242	1137	38.726	879741196
249	241	34.3265	879641194
99	4	22.1038	886519097
178	332	24.1841	882823437
251	100	31.1879	886271884
81	432	34.1086	876535131
260	322	21.5647	890618898
25	181	30.2106	885853415
59	196	23.9239	888205088
72	679	25.4842	880037164
87	384	32.772	879877127
290	143	28.9642	880474293
42	423	20.7974	881107687
292	515	29.345	881103977
115	20	21.5551	881171009
20	288	20.762	879667584
201	219	23.2009	884112673
13	526	27.9566	882141053
246	919	33.778	884920949
138	26	30.6942	879024232
167	232	33.7384	892738341
60	427	25.4491	883326620
57	304	29.3187	883698581
223	274	25.5311	891550094
189	512	29.0017	893277702
243	15	38.7014	879987440
92	1049	21.7386	890251826
246	416	29.0778	884923047
194	165	38.9125	879546723
241	690	37.1144	887249482
178	248	22.4195	882823954
254	1444	20.2833	886475558
293	5	24.6903	888906576
127	229	37.3263	884364867
225	237	28.7478	879539643
299	229	35.391	878192429
225	480	37.4801	879540748
276	54	27.5387	874791025
291	144	38.8866	874835091
222	366	35.9699	878183381
267	518	36.7727	878971773
42	403	38.9331	881108684
11	111	31.721	891903862
95	625	31.9833	888954412
8	338	26.3869	879361873
162	25	28.4232	877635573
87	1016	38.0821	879876194
279	154	23.1692	875296291
145	275	36.7032	885557505
119	1153	34.6388	874781198
62	498	29.8367	879373848
62	382	24.2426	879375537
28	209	22.395	881961214
135	23	20.9673	879857765
32	294	28.5205	883709863
90	382	26.5156	891383835
286	208	22.0932	877531942
293	685	28.5783	888905170
216	144	32.463	880234639
166	328	32.374	886397722
250	496	35.5999	878090499
271	132	29.7606	885848672
160	174	39.791	876860807
265	118	38.517	875320714
198	498	32.8435	884207492
42	96	34.9473	881107178
168	151	39.1314	884288058
110	307	30.3193	886987260
58	144	24.428	884304936
90	648	25.9926	891384754
271	346	36.2032	885844430
62	21	20.1272	879373460
279	832	25.6114	881375854
237	514	38.3834	879376641
94	789	27.3476	891720887
128	485	28.145	879966895
298	317	37.4901	884182806
44	195	39.0452	878347874
264	200	39.8072	886122352
194	385	23.0081	879524643
72	195	30.9647	880037702
222	750	24.7427	883815120
250	264	35.4369	878089182
41	265	29.1753	890687042
224	245	34.6245	888082216
82	135	23.9431	878769629
262	1147	29.4742	879791710
293	471	38.4759	888904884
216	658	37.1773	880245029
250	140	38.916	878092059
59	23	27.9937	888205300
286	379	26.9062	877533771
244	815	24.0206	880605185
7	479	26.4402	891352010
174	368	26.7234	886434402
87	274	31.4137	879876734
194	1211	28.74	879551380
82	1134	37.4878	884714402
13	836	32.8788	882139746
13	272	30.3588	884538403
244	756	37.8975	880605157
305	427	36.784	886323090
95	787	32.7539	888954930
43	14	29.5266	883955745
299	955	28.4597	889502823
57	419	20.1807	883698454
84	405	32.164	883452363
269	504	38.5509	891449922
299	111	26.9742	877878184
194	466	25.0563	879525876
160	135	28.2255	876860807
99	268	24.9287	885678247
10	486	39.5676	877886846
259	117	29.4043	874724988
85	427	33.6469	879456350
303	919	36.0419	879467295
213	273	37.0092	878870987
121	514	25.5297	891387947
90	98	32.0454	891383204
